"Time","FLOWTOSA"
"and",400.00
"Date","Discharge (ML/Day)"
"","Mean"
09:00:00 10/02/2009,        5396
09:00:00 11/02/2009,        5412
09:00:00 12/02/2009,        5294
09:00:00 13/02/2009,        5105
09:00:00 14/02/2009,        4999
09:00:00 15/02/2009,        4910
09:00:00 16/02/2009,        4811
09:00:00 17/02/2009,        4862
09:00:00 18/02/2009,        4888
09:00:00 19/02/2009,        5255
09:00:00 20/02/2009,        5384
09:00:00 21/02/2009,        5094
09:00:00 22/02/2009,        4992
09:00:00 23/02/2009,        5044
09:00:00 24/02/2009,        5054
09:00:00 25/02/2009,        5029
09:00:00 26/02/2009,        5101
09:00:00 27/02/2009,        4864
09:00:00 28/02/2009,        4377
09:00:00 01/03/2009,        4033
09:00:00 02/03/2009,        3865
09:00:00 03/03/2009,        3926
09:00:00 04/03/2009,        4010
09:00:00 05/03/2009,        4020
09:00:00 06/03/2009,        4079
09:00:00 07/03/2009,        4209
09:00:00 08/03/2009,        4094
09:00:00 09/03/2009,        3944
09:00:00 10/03/2009,        4057
09:00:00 11/03/2009,        4118
09:00:00 12/03/2009,        4094
09:00:00 13/03/2009,        4103
09:00:00 14/03/2009,        4051
09:00:00 15/03/2009,        3962
09:00:00 16/03/2009,        3958
09:00:00 17/03/2009,        3994
09:00:00 18/03/2009,        4044
09:00:00 19/03/2009,        4127
09:00:00 20/03/2009,        4143
09:00:00 21/03/2009,        4107
09:00:00 22/03/2009,        4033
09:00:00 23/03/2009,        3930
09:00:00 24/03/2009,        4025
09:00:00 25/03/2009,        4117
09:00:00 26/03/2009,        3995
09:00:00 27/03/2009,        3860
09:00:00 28/03/2009,        3908
09:00:00 29/03/2009,        4008
09:00:00 30/03/2009,        3993
09:00:00 31/03/2009,        4101
09:00:00 01/04/2009,        3967
09:00:00 02/04/2009,        3421
09:00:00 03/04/2009,        3038
09:00:00 04/04/2009,        2754
09:00:00 05/04/2009,        2760
09:00:00 06/04/2009,        2864
09:00:00 07/04/2009,        3071
09:00:00 08/04/2009,        3203
09:00:00 09/04/2009,        3054
09:00:00 10/04/2009,        3164
09:00:00 11/04/2009,        3033
09:00:00 12/04/2009,        2926
09:00:00 13/04/2009,        3015
09:00:00 14/04/2009,        3072
09:00:00 15/04/2009,        2983
09:00:00 16/04/2009,        2964
09:00:00 17/04/2009,        3106
09:00:00 18/04/2009,        3106
09:00:00 19/04/2009,        3036
09:00:00 20/04/2009,        3044
09:00:00 21/04/2009,        3114
09:00:00 22/04/2009,        3266
09:00:00 23/04/2009,        3418
09:00:00 24/04/2009,        3531
09:00:00 25/04/2009,        3544
09:00:00 26/04/2009,        3531
09:00:00 27/04/2009,        3420
09:00:00 28/04/2009,        3239
09:00:00 29/04/2009,        3145
09:00:00 30/04/2009,        3023
09:00:00 01/05/2009,        2683
09:00:00 02/05/2009,        2192
09:00:00 03/05/2009,        2037
09:00:00 04/05/2009,        1997
09:00:00 05/05/2009,        1941
09:00:00 06/05/2009,        1929
09:00:00 07/05/2009,        1945
09:00:00 08/05/2009,        1907
09:00:00 09/05/2009,        1765
09:00:00 10/05/2009,        1689
09:00:00 11/05/2009,        1747
09:00:00 12/05/2009,        1891
09:00:00 13/05/2009,        1999
09:00:00 14/05/2009,        1953
09:00:00 15/05/2009,        1951
09:00:00 16/05/2009,        1966
09:00:00 17/05/2009,        1787
09:00:00 18/05/2009,        1667
09:00:00 19/05/2009,        1801
09:00:00 20/05/2009,        1888
09:00:00 21/05/2009,        1910
09:00:00 22/05/2009,        1932
09:00:00 23/05/2009,        1772
09:00:00 24/05/2009,        1632
09:00:00 25/05/2009,        1824
09:00:00 26/05/2009,        1984
09:00:00 27/05/2009,        1888
09:00:00 28/05/2009,        1889
09:00:00 29/05/2009,        1821
09:00:00 30/05/2009,        1777
09:00:00 31/05/2009,        1891
09:00:00 01/06/2009,        1837
09:00:00 02/06/2009,        1687
09:00:00 03/06/2009,        1784
09:00:00 04/06/2009,        1836
09:00:00 05/06/2009,        1771
09:00:00 06/06/2009,        1640
09:00:00 07/06/2009,        1642
09:00:00 08/06/2009,        1640
09:00:00 09/06/2009,        1672
09:00:00 10/06/2009,        1714
09:00:00 11/06/2009,        1682
09:00:00 12/06/2009,        1695
09:00:00 13/06/2009,        1707
09:00:00 14/06/2009,        1746
09:00:00 15/06/2009,        1771
09:00:00 16/06/2009,        1684
09:00:00 17/06/2009,        1668
09:00:00 18/06/2009,        1689
09:00:00 19/06/2009,        1624
09:00:00 20/06/2009,        1646
09:00:00 21/06/2009,        1684
09:00:00 22/06/2009,        1793
09:00:00 23/06/2009,        1872
09:00:00 24/06/2009,        1904
09:00:00 25/06/2009,        1947
09:00:00 26/06/2009,        1947
09:00:00 27/06/2009,        1920
09:00:00 28/06/2009,        1837
09:00:00 29/06/2009,        1785
09:00:00 30/06/2009,        1796
09:00:00 01/07/2009,        1855
09:00:00 02/07/2009,        1838
09:00:00 03/07/2009,        1811
09:00:00 04/07/2009,        1757
09:00:00 05/07/2009,        1656
09:00:00 06/07/2009,        1747
09:00:00 07/07/2009,        1888
09:00:00 08/07/2009,        1894
09:00:00 09/07/2009,        1837
09:00:00 10/07/2009,        1755
09:00:00 11/07/2009,        1762
09:00:00 12/07/2009,        1854
09:00:00 13/07/2009,        1835
09:00:00 14/07/2009,        1795
09:00:00 15/07/2009,        1805
09:00:00 16/07/2009,        1805
09:00:00 17/07/2009,        1805
09:00:00 18/07/2009,        1805
09:00:00 19/07/2009,        1805
09:00:00 20/07/2009,        1756
09:00:00 21/07/2009,        1752
09:00:00 22/07/2009,        1783
09:00:00 23/07/2009,        1809
09:00:00 24/07/2009,        1819
09:00:00 25/07/2009,        1833
09:00:00 26/07/2009,        1827
09:00:00 27/07/2009,        1831
09:00:00 28/07/2009,        1802
09:00:00 29/07/2009,        1722
09:00:00 30/07/2009,        1716
09:00:00 31/07/2009,        1847
09:00:00 01/08/2009,        1858
09:00:00 02/08/2009,        1762
09:00:00 03/08/2009,        1802
09:00:00 04/08/2009,        1890
09:00:00 05/08/2009,        1895
09:00:00 06/08/2009,        1825
09:00:00 07/08/2009,        1832
09:00:00 08/08/2009,        1791
09:00:00 09/08/2009,        1739
09:00:00 10/08/2009,        1768
09:00:00 11/08/2009,        1828
09:00:00 12/08/2009,        1859
09:00:00 13/08/2009,        1787
09:00:00 14/08/2009,        1698
09:00:00 15/08/2009,        1730
09:00:00 16/08/2009,        1832
09:00:00 17/08/2009,        1788
